time,modobslng,modobslat,modtlng,modtlat
36340,50.15,8.15,50.15,8.15
36341,50.14,8.48,50.14,8.48
36342,50.11,8.79,50.11,8.79
36343,50.03,9.08,50.03,9.08
36344,49.92,9.38,49.92,9.38
36345,49.88,9.67,49.88,9.67
36346,49.81,9.96,49.81,9.96
36347,49.68,10.33,49.68,10.33
36348,49.56,10.68,49.56,10.68
36349,49.47,11.08,49.47,11.08
36350,49.35,11.47,49.35,11.47
36351,49.4,11.8,49.4,11.8
36352,49.37,12.15,49.37,12.15
36353,49.28,12.53,49.28,12.53
36354,49.23,12.81,49.23,12.81
36355,49.15,13.06,49.15,13.06
36356,49.04,13.33,49.04,13.33
36357,48.92,13.62,48.92,13.62
36358,48.89,13.92,48.89,13.92
36359,48.9,14.19,48.9,14.19
36360,48.86,14.5,48.86,14.5
36361,48.85,14.77,48.85,14.77
36362,48.76,15.1,48.76,15.1
36363,48.67,15.41,48.67,15.41
36364,48.61,15.77,48.61,15.77
36365,48.56,16.18,48.56,16.18
36366,48.51,16.57,48.51,16.57
36367,48.46,16.86,48.46,16.86
36368,48.36,17.16,48.36,17.16
36370,48.26,17.55,48.26,17.55
36371,48.25,17.79,48.25,17.79
36372,48.26,18.02,48.26,18.02
36373,48.26,18.29,48.26,18.29
36374,48.35,18.57,48.35,18.57
36375,48.45,18.81,48.45,18.81
36376,48.48,19.08,48.48,19.08
36377,48.41,19.41,48.41,19.41
36378,48.27,19.81,48.27,19.81
36379,48.2,20.09,48.2,20.09
36380,48.2,20.41,48.2,20.41
36381,48.24,20.7,48.24,20.7
36383,48.19,21.04,48.19,21.04
36384,48.06,21.22,48.06,21.22
36385,47.91,21.51,47.91,21.51
36386,47.82,21.78,47.82,21.78
36387,47.69,22.03,47.69,22.03
36388,47.65,22.3,47.65,22.3
36389,47.6,22.53,47.6,22.53
36390,47.56,22.79,47.56,22.79
36392,47.74,23.11,47.74,23.11
36393,47.9,23.23,47.9,23.23
36394,48.1,23.45,48.1,23.45
36395,48.16,23.69,48.16,23.69
36396,48.2,24.06,48.2,24.105
36397,48.18,24.52,48.18,24.52
36398,48.05,24.83,48.05,24.83
36399,47.86,25.11,47.86,25.11
36400,47.63,25.38,47.63,25.38
36401,47.52,25.71,47.52,25.71
36402,47.49,26,47.49,26
36403,47.61,26.33,47.61,26.33
36404,47.7,26.62,47.7,26.62
36405,47.77,26.94,47.77,26.94
36406,47.86,27.21,47.86,27.21
36407,47.81,27.45,47.81,27.45
36408,47.73,27.63,47.73,27.85857143
36409,47.64,27.88,47.64,28.26714286
36410,47.47,28.22,47.47,28.67571429
36411,47.28,28.71,47.28,29.08428571
36412,47.23,29.32,47.23,29.49285714
36413,47.3,29.79,47.3,29.90142857
36414,47.36,30.31,47.36,30.31
36415,47.5,30.68,47.5,30.68
36416,47.59,30.99,47.59,30.99
36417,47.63,31.29,47.63,31.29
36418,47.61,31.54,47.61,31.54
36419,47.65,31.75,47.65,31.75
36420,47.69,32.06,47.69,32.06
36421,47.69,32.38,47.69,32.38
36422,47.79,32.65,47.79,32.65
36424,48.03,33.02,48.03,33.02
36425,48,33.3,48,33.3
36426,47.93,33.5,47.93,33.5
36427,47.81,33.86,47.81,33.86
36428,47.67,34.08,47.67,34.08
36429,47.6,34.33,47.6,34.33
36430,47.51,34.56,47.51,34.56
36431,47.42,34.87,47.42,34.87
36432,47.35,35.24,47.35,35.24
36433,47.39,35.57,47.39,35.57
36434,47.39,35.87,47.39,35.87
36435,47.3,36.14,47.3,36.14
36436,47.25,36.43,47.25,36.43
36437,47.05,36.77,47.05,36.77
36438,46.88,37.04,46.88,37.04
36439,46.8,37.32,46.8,37.32
36440,46.73,37.59,46.73,37.59
36441,46.66,37.77,46.66,37.77
36443,46.53,38.19,46.53,38.19
36444,46.44,38.41,46.44,38.41
36445,46.45,38.65,46.45,38.65
36446,46.47,39,46.47,39
36447,46.56,39.21,46.56,39.21
36448,46.68,39.47,46.68,39.47
36449,46.72,39.73,46.72,39.73
36450,46.65,40.07,46.65,40.07
36451,46.57,40.46,46.57,40.46
36452,46.52,40.72,46.52,40.72
36453,46.51,41.07,46.51,41.07
36454,46.57,41.43,46.57,41.43
36455,46.6,41.72,46.6,41.72
36456,46.6,42.02,46.6,42.02
36457,46.5,42.33,46.5,42.33
36458,46.38,42.57,46.38,42.57
36460,46.18,42.92,46.18,42.92
36461,46.17,43.14,46.17,43.14
36462,46.17,43.37,46.17,43.37
36463,46.09,43.61,46.09,43.61
36464,46.08,43.85,46.08,43.85
36465,46.06,44.16,46.06,44.16
36466,45.97,44.48,45.97,44.48
36467,45.89,44.84,45.89,44.84
36468,45.9,45.19,45.9,45.19
36469,46.01,45.53,46.01,45.53
36470,46.1,45.87,46.1,45.87
36471,46.04,46.18,46.04,46.18
36472,45.95,46.47,45.95,46.47
36473,45.88,46.77,45.88,46.77
36475,45.75,47.11,45.75,47.11
36476,45.66,47.3,45.66,47.3
36478,45.67,47.71,45.67,47.71
36479,45.74,48,45.74,48
36480,45.78,48.38,45.78,48.38
36481,45.82,48.81,45.82,48.79
36482,45.81,49.29,45.81,49.2
36483,45.7,49.85,45.7,49.61
36484,45.66,50.3,45.66,50.02
36485,45.56,50.76,45.56,50.43
36486,45.41,51.08,45.41,50.84
36487,45.25,51.25,45.25,51.25
36488,45.09,51.47,45.09,51.47
36489,45.01,51.67,45.01,51.67
36492,45.04,52.1,45.04,52.1
36493,45.1,52.2,45.1,52.2
36522,45.19,52.26,45.19,54.2
36523,44.92,54.2,44.92,54.2
36525,44.48,54.11,44.48,54.11
36526,44.31,54.06,44.31,54.06
36530,43.86,53.83,43.86,53.83
36531,43.77,53.8,43.77,53.8
36534,43.77,53.8,43.3725,53.8
36535,43.24,53.5,43.24,53.5
36537,42.75,53.35,42.75,53.35
36538,42.41,53.29,42.41,53.29
36540,41.83,53.28,41.83,53.28
36541,41.55,53.38,41.55,53.38
36544,41.02,53.23,41.02,53.23
36545,40.83,53.19,40.83,53.19
36547,40.38,53.14,40.38,53.14
36548,40.13,53.13,40.13,53.13
36550,39.63,53.29,39.63,53.29
36551,39.54,53.23,39.54,53.23
36576,39.52,53.17,39.52,54.48961538
36577,39.03,54.54,39.03,54.54
36585,38.56,54.69,38.56,54.69
36586,38.27,54.85,38.27,54.85
36641,38.36,54.6,36.94410714,57.96339286
36642,36.92,58.02,36.92,58.02
36655,37.03,58.29,37.03,58.29
36656,37.24,58.62,37.24,58.62
36658,37.4,58.41,37.4,58.41
36673,40.07,57.49,40.07,57.49
36674,40.66,57.47,40.66,57.47
36696,41.01,57.72,36.99652174,59.58391304
36697,36.83,59.68,36.83,59.68
36698,36.33,59.51,36.33,59.51
36699,35.82,59.43,35.82,59.43
36700,35.32,59.45,35.32,59.45
36701,35.14,59.51,35.14,59.51
36703,34.83,59.7,34.83,59.7
36704,34.68,59.84,34.68,59.84
36706,34.3,59.92,34.3,59.92
36707,34.06,59.84,33.905,59.84
36708,33.51,59.8,33.51,59.8
36709,33.28,59.73,33.28,59.73
36710,32.81,59.66,32.81,59.66
36711,32.55,59.63,32.55,59.63
36712,32.1,59.56,32.05333333,59.56
36713,31.58,59.45,31.55666667,59.45
36714,31.06,59.43,31.06,59.43
36715,30.6,59.37,30.6,59.37
36716,30.17,59.26,30.17,59.26
36717,29.94,59.22,29.94,59.22
36719,29.63,59,30.908,59
36720,30.9,59.04,31.392,59.04
36721,31.52,58.98,31.876,58.98
36722,32.36,58.98,32.36,58.98
37800,37.54,56.21,36.87,55.19
37801,36.87,55.19,36.87,55.19
37803,36.67,55.53,36.67,55.53
37804,36.65,55.67,36.65,55.67
37807,36.55,56.11,36.55,56.11
37808,36.53,56.31,36.53,56.31
37810,36.31,56.68,36.31,56.68
37811,36.16,56.85,36.16,56.85
37813,35.8,57.16,35.8,57.16
37814,35.64,57.32,35.64,57.32
37816,35.42,57.69,35.42,57.69
37817,35.41,57.92,35.41,57.92
37818,35.24,58.14,35.24,58.14
37819,35.02,58.27,35.02,58.27
37821,34.66,58.55,34.66,58.55
37822,34.47,58.71,34.47,58.71
37824,33.99,58.96,33.99,58.96
37825,33.8,59.12,33.8,59.12
37826,33.58,59.31,33.58,59.31
37827,33.4,59.46,33.4,59.46
37830,33.1,59.83,33.1,59.83
37831,32.89,60.1,32.89,60.1
37832,32.71,60.4,32.71,60.4
37833,32.55,60.67,32.55,60.67
37834,32.34,60.89,32.34,60.89
37835,32.05,61.13,32.05,61.13
37836,31.85,61.37,31.85,61.37
37837,31.58,61.63,31.58,61.63
37838,31.35,61.84,31.35,61.84
37839,31.12,62.07,31.12,62.07
37840,30.86,62.26,30.86,62.26
37841,30.62,62.45,30.62,62.45
37843,30.34,62.78,30.34,62.78
37844,30.24,62.97,30.24,62.97
37845,30.03,63.17,30.03,63.17
37846,29.81,63.4,29.81,63.4
37847,29.76,63.66,29.76,63.66
37848,29.65,63.89,29.65,63.89
37850,29.44,64.26,29.44,64.26
37851,29.37,64.43,29.37,64.43
37853,29.29,64.73,29.29,64.73
37854,29.19,64.93,29.19,64.93
37855,29.11,65.15,29.11,65.15
37856,28.96,65.35,28.96,65.35
37857,28.77,65.56,28.77,65.56
37858,28.55,65.73,28.55,65.73
37859,28.29,65.94,28.29,65.94
37860,28.02,66.15,28.02,66.15
37861,27.82,66.37,27.82,66.37
37862,27.69,66.56,27.69,66.56
37863,27.55,66.75,27.55,66.75
37864,27.32,67.03,27.32,67.03
37865,27.07,67.28,27.07,67.28
37866,26.89,67.52,26.89,67.52
37867,26.72,67.84,26.72,67.84
37868,26.55,68.09,26.55,68.09
37869,26.39,68.34,26.39,68.34
37870,26.24,68.57,26.24,68.57
37871,26.1,68.79,26.1,68.79
37872,25.93,68.97,25.93,68.97
37873,25.81,69.24,25.81,69.24
37874,25.69,69.58,25.69,69.58
37875,25.5,69.9,25.5,69.9
37876,25.25,70.19,25.25,70.19
37877,25,70.44,25,70.44
37878,24.86,70.69,24.86,70.69
37880,24.75,71.09,24.75,71.09
37881,24.74,71.23,24.74,71.23
37884,24.71,71.51,24.71,71.51
37885,24.55,71.76,24.55,71.76
37887,24.22,72.1,24.22,72.1
37888,24.05,72.33,24.05,72.33
37889,23.92,72.57,23.92,72.57
37890,23.76,72.81,23.76,72.81
37892,23.45,73.13,23.45,73.13
37893,23.37,73.2,23.37,73.2
37941,23.24,73.21,23.24,73.21
38196,26.61,74.82,26.61,74.82
38238,26.61,74.82,24.53,73.19
38239,24.53,73.19,24.53,73.19
38247,25,73.12,25,73.12
38248,25.17,73.21,25.17,73.21
38250,25.52,73.33,25.52,73.33
38251,25.85,73.32,25.85,73.32
38259,25.85,73.32,25.85,72.16444444
38260,26.43,72.02,26.43,72.02
38262,26.57,71.68,26.57,71.68
38263,26.71,71.46,26.71,71.46
38265,26.99,71.26,26.99,71.26
38266,27.2,71.13,27.2,71.13
38267,27.39,70.92,27.39,70.92
38268,27.56,70.7,27.56,70.7
38269,27.77,70.51,27.77,70.51
38270,28.01,70.3,28.01,70.3
38271,28.26,70.06,28.26,70.06
38272,28.56,69.78,28.56,69.78
38273,28.84,69.49,28.84,69.49
38274,29.11,69.24,29.11,69.24
38275,29.3,69,29.3,69
38276,29.51,68.72,29.51,68.72
38277,29.75,68.53,29.75,68.53
38278,30.01,68.42,30.01,68.42
38279,30.24,68.28,30.24,68.28
38280,30.49,68.05,30.49,68.05
38281,30.75,67.82,30.75,67.82
38282,30.99,67.54,30.99,67.54
38283,31.28,67.27,31.28,67.27
38284,31.5,67.03,31.5,67.03
38286,31.82,66.76,31.82,66.76
38287,31.96,66.59,31.96,66.59
38289,32.18,66.23,32.18,66.23
38290,32.29,66.09,32.29,66.09
38293,32.41,65.95,32.41,65.625
38294,32.64,65.47,32.64,65.47
38295,32.73,65.23,32.73,65.23
38296,32.89,65.03,32.89,65.03
38297,33.21,64.69,33.21,64.69
38298,33.49,64.48,33.49,64.48
38299,33.82,64.33,33.82,64.33
38300,34.04,64.17,34.04,64.17
38301,34.29,63.97,34.29,63.97
38302,34.47,63.79,34.47,63.79
38304,34.75,63.41,34.75,63.41
38305,34.85,63.12,34.85,63.12
38306,35.07,62.77,35.07,62.77
38307,35.43,62.38,35.43,62.38
38308,35.66,62.06,35.66,62.06
38309,35.89,61.68,35.89,61.68
38310,36.08,61.32,36.08,61.32
38311,36.3,60.96,36.3,60.96
38312,36.48,60.64,36.48,60.64
38313,36.66,60.4,36.66,60.4
38314,36.87,60.14,36.87,60.14
38315,37.03,59.9,37.03,59.9
38317,37.03,59.45,37.03,59.45
38318,37.11,59.17,37.11,59.17
38319,37.17,58.88,37.17,58.88
38320,37.27,58.58,37.27,58.58
38321,37.32,58.31,37.32,58.31
38322,37.39,58.03,37.39,58.03
38323,37.42,57.73,37.42,57.73
38324,37.48,57.42,37.48,57.42
38325,37.54,57.18,37.54,57.18
38326,37.53,56.91,37.53,56.91
38328,37.5,56.49,37.5,56.49
38329,37.46,56.21,37.46,56.21
38330,37.57,55.95,37.57,55.95
38331,37.7,55.73,37.7,55.73
38336,37.8,55.54,37.8,54.57166667
38337,37.4,54.34,37.4,54.34
38338,37.07,54.21,37.07,54.21
38339,36.82,54.08,36.82,54.08
38340,36.53,53.96,36.53,53.96
38341,36.23,53.88,36.23,53.88
38343,35.71,53.69,35.71,53.69
38344,35.46,53.58,35.46,53.58
38346,34.95,53.35,34.95,53.35
38347,34.67,53.24,34.67,53.24
38348,34.25,53.2,34.25,53.2
38349,33.77,53.2,33.77,53.2
38350,33.29,53.21,33.29,53.21
38351,32.84,53.2,32.84,53.2
38352,32.38,53.18,32.38,53.18
38353,31.92,53.11,31.92,53.11
38354,31.46,53.07,31.46,53.07
38355,31.04,53.04,31.04,53.04
38356,30.57,53.04,30.57,53.04
38357,30.09,53.05,30.09,53.05
38358,29.63,53.01,29.59,53.01
38359,29.09,52.96,29.09,52.96
38360,28.59,52.89,28.59,52.89
38361,28.11,52.85,28.11,52.85
38362,27.63,52.86,27.63,52.86
38363,27.23,52.85,27.23,52.85
38364,26.81,52.81,26.81,52.81
38365,26.43,52.77,26.43,52.77
38366,26.07,52.71,26.07,52.71
38367,25.7,52.62,25.7,52.62
38368,25.32,52.55,25.32,52.55
38369,25,52.51,25,52.51
38370,24.66,52.49,24.66,52.49
38371,24.24,52.52,24.24,52.52
38373,23.75,52.38,23.75,52.38
38374,23.55,52.3,23.55,52.3
38375,23.23,52.34,23.23,52.34
38376,22.84,52.43,22.84,52.43
38378,22.37,52.38,22.37,52.38
38379,22.01,52.31,22.01,52.31
38380,21.51,52.3,21.51,52.3
38381,21.01,52.2,21.01,52.2
38382,20.56,52.09,20.56,52.09
38383,20.11,51.97,20.07,51.97
38384,19.65,51.91,19.58,51.91
38385,19.17,51.88,19.09,51.88
38386,18.62,51.87,18.6,51.87
38387,18.11,51.86,18.11,51.86
38388,17.65,51.83,17.65,51.83
38389,17.18,51.8,17.18,51.8
38390,16.7,51.78,16.7,51.78
38391,16.21,51.76,16.21,51.76
38392,15.73,51.68,15.73,51.68
38393,15.26,51.56,15.26,51.56
38394,14.82,51.47,14.82,51.47
38395,14.39,51.43,14.39,51.43
38396,13.95,51.4,13.95,51.4
38397,13.53,51.38,13.53,51.38
38399,12.95,51.36,12.95,51.36
38400,12.67,51.32,12.67,51.32
38402,12.12,51.41,12.12,51.41
38403,11.75,51.46,11.75,51.46
38404,11.42,51.49,11.42,51.49
38405,11.08,51.58,11.08,51.58
38406,10.77,51.62,10.77,51.62
38407,10.41,51.6,10.41,51.6
38409,9.95,51.41,9.95,51.41
38410,9.73,51.31,9.73,51.31
38412,9.23,51.14,9.23,51.14
38413,8.89,51.11,8.89,51.11
38414,8.5,51.09,8.5,51.09
38415,8.1,51.09,8.1,51.09
38416,7.64,51.08,7.64,51.08
38417,7.14,51.05,7.14,51.05
38418,6.67,51.08,6.67,51.08
38419,6.27,51.06,6.27,51.06
38420,5.84,51.07,5.84,51.07
38421,5.44,51.07,5.44,51.07
38423,4.9,51.04,4.9,51.04
38424,4.57,51,4.57,51
38426,4.28,50.75,4.28,50.75
38427,4.15,50.66,4.15,50.66
38429,3.63,50.57,3.63,50.57
38430,3.23,50.51,3.23,50.51
38431,2.83,50.48,2.83,50.48
38432,2.49,50.46,2.49,50.46
38434,1.97,50.52,1.97,50.52
38435,1.64,50.58,1.64,50.58
38436,1.32,50.57,1.32,50.57
38437,1.04,50.55,1.04,50.55
38440,0.64,50.34,0.64,50.34
38441,0.54,50.19,0.54,50.19
38443,0.35,49.79,0.35,49.79
38444,0.43,49.7,0.43,49.7
38446,0.12,49.36,0.12,49.36
38447,0.05,49.08,0.05,49.08
38448,0,48.83,0,48.83
38449,0.02,48.58,0.02,48.58
38450,0.16,48.31,0.16,48.31
38451,0.41,48,0.41,48
38452,0.6,47.73,0.6,47.73
38453,0.6,47.51,0.6,47.51
38454,0.58,47.25,0.58,47.25
38455,0.54,46.97,0.54,46.97
38456,0.56,46.67,0.56,46.67
38457,0.63,46.34,0.63,46.34
38458,0.72,46.07,0.72,46.07
38459,0.82,45.88,0.82,45.88
38465,0.82,45.7,0.82,45.7
38466,0.83,45.36,0.83,45.36
38467,0.79,45.07,0.79,45.07
38468,0.69,44.81,0.69,44.81
38469,0.71,44.55,0.71,44.55
38470,0.79,44.33,0.79,44.33
38472,0.79,43.93,0.79,43.93
38473,0.75,43.72,0.75,43.72
38474,0.66,43.44,0.66,43.44
38475,0.64,43.15,0.64,43.15
38476,0.63,42.9,0.63,42.9
38477,0.69,42.54,0.69,42.47307692
38478,0.78,42.17,0.78,42.04615385
38479,0.83,41.73,0.83,41.61923077
38480,0.86,41.35,0.86,41.19230769
38481,0.9,40.92,0.9,40.76538462
38482,1.11,40.5,1.11,40.33846154
38483,1.22,40.03,1.22,39.91153846
38484,1.29,39.56,1.29,39.48461538
38485,1.26,39.1,1.26,39.05769231
38486,1.32,38.6,1.32,38.63076923
38487,1.47,38.17,1.47,38.20384615
38488,1.61,37.73,1.61,37.77692308
38489,1.69,37.35,1.69,37.35
38490,1.78,37.06,1.78,37.06
38491,1.93,36.72,1.93,36.72
38492,2.05,36.4,2.05,36.4
38493,2.16,36.07,2.16,36.07
38494,2.31,35.67,2.31,35.67
38495,2.61,35.4,2.61,35.4
38496,2.98,35.26,2.98,35.26
38497,3.36,35.2,3.36,35.2
38498,3.62,35.08,3.62,35.08
38500,4.03,35.11,4.03,35.11
38501,4.37,35.2,4.37,35.2
38502,4.79,35.38,4.79,35.38
38503,5.17,35.59,5.17,35.59
38504,5.44,35.7,5.44,35.7
38505,5.82,35.76,5.9,35.76
38506,6.36,35.75,6.36,35.75
38507,6.63,35.73,6.63,35.73
38508,6.97,35.62,6.97,35.62
38509,7.34,35.43,7.34,35.43
38510,7.67,35.28,7.67,35.28
38511,8.04,35.19,8.04,35.19
38512,8.43,35.16,8.43,35.16
38513,8.81,35.12,8.81,35.12
38514,9.19,35.16,9.19,35.16
38515,9.54,35.22,9.54,35.22
38516,9.95,35.41,9.95,35.41
38517,10.4,35.63,10.4,35.63
38518,10.73,35.72,10.73,35.72
38519,11.11,35.82,11.11,35.82
38521,11.58,36.07,11.58,36.07
38522,11.74,36.3,11.74,36.3
38523,11.9,36.56,11.9,36.56
38524,11.89,36.99,11.89,36.99
38525,11.81,37.37,11.81,37.37
38526,11.77,37.57,11.77,37.57
38527,11.81,37.87,11.81,37.87
38528,11.91,38.13,11.91,38.13
38529,11.91,38.45,11.91,38.45
38530,11.91,38.7,11.91,38.7
38531,11.9,38.95,11.9,38.95
38532,11.92,39.18,11.92,39.18
38534,12.01,39.56,12.01,39.56
38535,11.92,39.65,11.92,39.65
38545,11.96,39.66,12.56545455,39.66
38546,12.63,39.68,12.63,39.68
38547,12.46,39.87,12.46,39.87
38548,12.13,40,12.13,40
38563,11.83,39.98,11.83,39.98
38601,10.21,40.1,10.21,40.1
38604,10.77,40.17,11.465,40.17
38605,12.18,40.29,11.88333333,40.29
38607,12.72,40.41,12.72,40.41
38608,12.77,40.38,12.77,40.38
38621,12.77,40.38,12.77,39.34928571
38622,13.29,39.27,13.29,39.27
38624,13.33,38.86,13.33,38.86
38625,13.24,38.63,13.24,38.63
38626,13.21,38.39,13.21,38.39
38627,13.13,38.18,13.13,38.18
38628,13.16,37.89,13.16,37.89
38629,13.18,37.57,13.18,37.57
38631,13.24,37.04,13.24,37.04
38632,13.33,36.73,13.33,36.73
38633,13.25,36.47,13.25,36.47
38634,13.18,36.18,13.18,36.18
38635,13.17,35.88,13.17,35.88
38636,13.01,35.59,13.01,35.59
38637,12.73,35.29,12.73,35.29
38638,12.54,34.93,12.54,34.88
38639,12.29,34.5,12.29,34.47
38640,12.09,34.06,12.09,34.06
38641,11.92,33.69,11.92,33.69
38642,11.74,33.42,11.74,33.42
38643,11.68,33.16,11.68,33.16
38645,11.71,32.69,11.71,32.69
38647,11.8,32.31,11.8,32.31
38648,11.9,32.16,11.9,32.16
38650,11.88,31.8,11.88,31.8
38651,11.84,31.54,11.84,31.54
38652,11.82,31.32,11.82,31.32
38653,11.94,31.09,11.94,31.09
38654,11.84,30.86,11.84,30.86
38655,11.67,30.59,11.67,30.59
38657,11.63,30.14,11.63,30.14
38658,11.8,29.91,11.8,29.91
38659,11.99,29.63,11.99,29.63
38660,12.04,29.36,12.04,29.36
38661,12.13,29.08,12.13,29.08
38662,12.14,28.86,12.14,28.86
38664,12.25,28.54,12.25,28.54
38665,12.31,28.27,12.31,28.27
38666,12.35,28.03,12.35,28.03
38667,12.26,27.75,12.26,27.75
38668,12.24,27.39,12.24,27.39
38669,12.25,27.06,12.25,27.06
38670,12.2,26.73,12.2,26.73
38671,12.22,26.53,12.22,26.53
38673,12.48,26.26,12.48,26.26
38674,12.74,26.11,12.74,26.11
38675,12.99,25.88,12.99,25.88
38676,13.1,25.65,13.1,25.65
38677,13.22,25.39,13.22,25.39
38678,13.48,25.15,13.48,25.15
38679,13.59,24.92,13.59,24.92
38680,13.68,24.68,13.68,24.68
38681,13.72,24.42,13.72,24.42
38682,13.73,24.17,13.73,24.17
38683,13.64,23.94,13.64,23.94
38684,13.54,23.69,13.54,23.69
38685,13.46,23.4,13.46,23.4
38686,13.4,23.09,13.4,23.09
38687,13.39,22.83,13.39,22.83
38688,13.39,22.54,13.39,22.54
38689,13.39,22.24,13.39,22.15
38690,13.39,21.76,13.39,21.76
38691,13.5,21.42,13.5,21.42
38692,13.6,21.11,13.6,21.11
38693,13.72,20.75,13.72,20.75
38694,13.85,20.49,13.85,20.49
38695,14.01,20.14,14.01,20.14
38696,14.13,19.76,14.13,19.76
38697,14.21,19.41,14.21,19.41
38698,14.26,19.1,14.26,19.1
